"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 03 02:44:53 UTC 2024","Sat Feb 03 02:44:55 UTC 2024","1345","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Feb 03 02:34:00 UTC 2024","Sat Feb 03 02:34:10 UTC 2024","10438","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Feb 03 03:54:28 UTC 2024","Sat Feb 03 03:54:29 UTC 2024","981","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Feb 03 03:40:48 UTC 2024","Sat Feb 03 03:40:51 UTC 2024","2458","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Feb 03 02:39:53 UTC 2024","Sat Feb 03 02:39:55 UTC 2024","2363","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Feb 03 02:36:09 UTC 2024","Sat Feb 03 02:36:10 UTC 2024","572","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Feb 03 03:52:18 UTC 2024","Sat Feb 03 03:52:22 UTC 2024","4233","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Feb 03 02:39:55 UTC 2024","Sat Feb 03 02:40:08 UTC 2024","12748","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sat Feb 03 02:51:58 UTC 2024","Sat Feb 03 02:51:59 UTC 2024","397","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Feb 03 02:36:02 UTC 2024","Sat Feb 03 02:36:02 UTC 2024","333","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Feb 03 03:02:08 UTC 2024","Sat Feb 03 03:02:08 UTC 2024","278","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Feb 03 03:04:57 UTC 2024","Sat Feb 03 03:05:11 UTC 2024","14631","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Feb 03 02:30:19 UTC 2024","Sat Feb 03 02:30:41 UTC 2024","21840","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Feb 03 02:34:15 UTC 2024","Sat Feb 03 02:34:34 UTC 2024","18255","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Feb 03 04:18:10 UTC 2024","Sat Feb 03 04:18:12 UTC 2024","2793","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
